Sample,units,config,C3pre,C4pre,C5pre,C6pre,C7pre,C8pre,C3post,C4post,C5post,C6post,C7post,C8post,PFOS,C3MDL,C4MDL,C5MDL,C6MDL,C7MDL,C8MDL,PFOSMDL,C3err,C4err,C5err,C6err,C7err,C8err,PFOSerr
MA-FSW  665-0264 (03MW1014B),nM,AFFF_impacted_targeted.yaml,0.034225352,0.099923954,0.104217252,0.037410468,0.071138015,0.056198704,0.034225352,0.099923954,0.141533546,0.037410468,0.071138015,0.056198704,0.113507014,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  632-M01-02GNT,nM,AFFF_impacted_targeted.yaml,0.057887324,0.004030418,0.005335463,0.002396694,0.007748184,0.002591793,0.057887324,0.004030418,0.005335463,0.002396694,0.009757869,0.002634989,0.039178357,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  632-M01-05BKT,nM,AFFF_impacted_targeted.yaml,0.100093897,0.212965779,0.28514377,0.110413223,0.194043584,0.020453564,0.123474178,0.225247148,0.323226837,0.110413223,0.194043584,0.022440605,0.157214429,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) Microlayer,nM,AFFF_impacted_targeted.yaml,0.027323944,0.058859316,0.076709265,0.032892562,0.079394673,0.007062635,0.06,0.085019011,0.157923323,0.040578512,0.092929782,0.007386609,0.152945892,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 0.1m,nM,AFFF_impacted_targeted.yaml,0.027183099,0.056996198,0.07571885,0.032479339,0.073946731,0.006285097,0.056901408,0.085665399,0.153162939,0.039338843,0.09716707,0.007537797,0.108416834,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 1.00m,nM,AFFF_impacted_targeted.yaml,0.02713615,0.057186312,0.077667732,0.03261708,0.074842615,0.006328294,0.056150235,0.084904943,0.149552716,0.04030303,0.091041162,0.006954644,0.106773547,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 3.00m,nM,AFFF_impacted_targeted.yaml,0.025915493,0.056692015,0.074472843,0.03214876,0.074891041,0.005939525,0.06084507,0.086425856,0.15172524,0.039393939,0.094503632,0.007278618,0.102304609,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 5.00m,nM,AFFF_impacted_targeted.yaml,0.026807512,0.05756654,0.074664537,0.031460055,0.074891041,0.006198704,0.026807512,0.088136882,0.15629393,0.041570248,0.091501211,0.007667387,0.114829659,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 9.00m,nM,AFFF_impacted_targeted.yaml,0.030046948,0.0578327,0.074025559,0.032699725,0.073123487,0.006069114,0.06600939,0.083764259,0.147220447,0.037713499,0.093728814,0.007278618,0.107054108,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 13.00m,nM,AFFF_impacted_targeted.yaml,0.019342723,0.050684411,0.062651757,0.026225895,0.056174334,0.005831533,0.019342723,0.077946768,0.13686901,0.035757576,0.071428571,0.008012959,0.081422846,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 17.00m,nM,AFFF_impacted_targeted.yaml,0.02600939,0.050494297,0.064536741,0.027520661,0.054503632,0.006306695,0.02600939,0.077490494,0.130479233,0.033471074,0.069854722,0.006976242,0.084048096,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) Microlayer,nM,AFFF_impacted_targeted.yaml,0.030140845,0.056007605,0.07600639,0.03046832,0.076682809,0.007645788,0.108967136,0.084562738,0.202396166,0.037796143,0.089854722,0.00887689,0.174589178,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 0.1m,nM,AFFF_impacted_targeted.yaml,0.025539906,0.056539924,0.073610224,0.032699725,0.076125908,0.006587473,0.025539906,0.079087452,0.151214058,0.036859504,0.087336562,0.006587473,0.108977956,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 1.00m,nM,AFFF_impacted_targeted.yaml,0.035070423,0.057490494,0.075623003,0.03214876,0.075932203,0.006414687,0.035070423,0.074486692,0.149392971,0.033939394,0.082760291,0.006414687,0.103166333,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 3.00m,nM,AFFF_impacted_targeted.yaml,0.027981221,0.0578327,0.074185304,0.030743802,0.07472155,0.006285097,0.027981221,0.0721673,0.152971246,0.038347107,0.084769976,0.006933045,0.107895792,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 9.00m,nM,AFFF_impacted_targeted.yaml,0.027652582,0.055171103,0.070479233,0.031432507,0.071864407,0.006112311,0.027652582,0.078403042,0.155367412,0.035426997,0.084140436,0.006673866,0.099158317,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 13.00m,nM,AFFF_impacted_targeted.yaml,0.03600939,0.059087452,0.074696486,0.031790634,0.075302663,0.006112311,0.03600939,0.078326996,0.143642173,0.033966942,0.082421308,0.007386609,0.104388778,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0001 (ECAMP02) 17.00m,nM,AFFF_impacted_targeted.yaml,0.029765258,0.052965779,0.065654952,0.026556474,0.057893462,0.00524838,0.029765258,0.069923954,0.150926518,0.031680441,0.070799031,0.006954644,0.085651303,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0010 Microlayer,nM,AFFF_impacted_targeted.yaml,0.02600939,0.052395437,0.067635783,0.031432507,0.068474576,0.005723542,0.02600939,0.079201521,0.140095847,0.039256198,0.087675545,0.007775378,0.104789579,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0011 Microlayer,nM,AFFF_impacted_targeted.yaml,0.040657277,0.063041825,0.082492013,0.03476584,0.080992736,0.006220302,0.040657277,0.080304183,0.132747604,0.035812672,0.080992736,0.006565875,0.098857715,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0009 (ECAMP01) Microlayer,nM,AFFF_impacted_targeted.yaml,0.036995305,0.057338403,0.074824281,0.031322314,0.076900726,0.008423326,0.036995305,0.081787072,0.156485623,0.036831956,0.095423729,0.010863931,0.185290581,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0009 (ECAMP01) 0.1m,nM,AFFF_impacted_targeted.yaml,0.03399061,0.057528517,0.073162939,0.031818182,0.073099274,0.006112311,0.03399061,0.079885932,0.138881789,0.035151515,0.083946731,0.006781857,0.103446894,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0009 (ECAMP01) 3.00 m,nM,AFFF_impacted_targeted.yaml,0.029107981,0.056197719,0.072971246,0.029311295,0.07496368,0.005831533,0.029107981,0.07878327,0.137444089,0.036391185,0.084576271,0.006414687,0.104068136,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FS-ASHPD-0009 (ECAMP01) 5.00 m,nM,AFFF_impacted_targeted.yaml,0.030657277,0.057072243,0.070990415,0.030413223,0.07283293,0.006306695,0.030657277,0.077528517,0.14715655,0.034269972,0.083849879,0.006760259,0.103086172,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-KIGAM-131N-011E-LW,nM,AFFF_impacted_targeted.yaml,0.062112676,0.107490494,0.15399361,0.06815427,0.210169492,0.015982721,0.117746479,0.148669202,0.28,0.068842975,0.210169492,0.015982721,0.369839679,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-KIGAM-131N-011E-015,nM,AFFF_impacted_targeted.yaml,0.056525822,0.079353612,0.073610224,0.063526171,0.135544794,0.046587473,0.06286385,0.110228137,0.160830671,0.063526171,0.135835351,0.047948164,0.363146293,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-KIGAM-131N-011E-030,nM,AFFF_impacted_targeted.yaml,0.050704225,0.079581749,0.07514377,0.063801653,0.126779661,0.049568035,0.063615023,0.115627376,0.162332268,0.065977961,0.132615012,0.049568035,0.352865731,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-KIGAM-131N-011E-050,nM,AFFF_impacted_targeted.yaml,0.057558685,0.097604563,0.085303514,0.066584022,0.142808717,0.066393089,0.088215962,0.12338403,0.175846645,0.067190083,0.142808717,0.066393089,0.37511022,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-KIGAM-131N-011E-100,nM,AFFF_impacted_targeted.yaml,0.066760563,0.098365019,0.08485623,0.065757576,0.140460048,0.072786177,0.076995305,0.129353612,0.182076677,0.065757576,0.141089588,0.072786177,0.379779559,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-KIGAM-124N-010E-LW,nM,AFFF_impacted_targeted.yaml,0.033004695,0.093231939,0.134792332,0.054077135,0.15440678,0.012958963,0.158732394,0.147338403,0.278530351,0.061873278,0.168910412,0.016717063,0.319378758,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-KIGAM-124N-010E-015,nM,AFFF_impacted_targeted.yaml,0.05741784,0.107870722,0.104728435,0.059889807,0.12157385,0.055853132,0.113521127,0.172585551,0.290479233,0.076556474,0.156634383,0.070302376,0.474749499,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-KIGAM-124N-010E-030,nM,AFFF_impacted_targeted.yaml,0.051126761,0.087794677,0.08428115,0.049063361,0.099757869,0.063326134,0.136525822,0.138403042,0.243099042,0.057190083,0.1231477,0.082613391,0.430941884,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
